Category,Prompt_ID,Vague_Prompt,Structured_Prompt
Vague_Place,VP_01,mountain dawn,"A misty alpine meadow at 6 AM golden hour, with scattered wildflowers, granite peaks visible through lifting fog, and morning dew reflecting first sunlight across the valley floor"
Vague_Place,VP_02,coastal evening,"Mediterranean cliffside village at sunset, with white-washed buildings cascading down rocky slopes, terracotta roofs glowing orange, olive groves, and fishing boats returning to harbor"
Vague_Place,VP_03,forest clearing,"Scandinavian boreal forest opening in late autumn, featuring towering spruce and birch trees with golden leaves, moss-covered fallen logs, filtered sunlight, and mushrooms on forest floor"
Vague_Place,VP_04,desert silence,"Sahara Desert dune landscape at midday, with endless rolling sand formations, heat shimmer effects, clear blue sky, scattered camel bones, and profound acoustic emptiness"
Vague_Place,VP_05,urban corner,"New York City street intersection in Chinatown during evening rush hour, with neon signs reflecting on wet asphalt, pedestrians with umbrellas, steam rising from manholes"
Vague_Place,VP_06,village square,"Tuscan medieval town piazza with cobblestone patterns, Renaissance fountain centerpiece, outdoor café tables, church bell tower, and locals gathering for evening passeggiata"
Vague_Place,VP_07,garden shadows,"English cottage garden in late afternoon, with climbing roses on trellis, stone pathway, sundial casting long shadows, herb borders, and filtered light through apple trees"
Vague_Place,VP_08,cave entrance,"Limestone cave opening in Appalachian mountains, with stalactite formations visible at threshold, fern growth on moist rocks, cool air emanating, and darkness receding into depths"
Vague_Place,VP_09,bridge crossing,"Japanese wooden footbridge over koi pond in traditional garden, with curved handrails, reflection in still water, cherry blossom petals floating, and stone lanterns nearby"
Vague_Place,VP_10,valley mist,"Swiss Alpine valley at dawn with low-hanging cloud cover, traditional chalets on hillsides, grazing cattle, church spires emerging from fog, and snow-capped peaks above"
Vague_Place,VP_11,rooftop view,"Parisian building rooftop terrace overlooking Haussmanian architecture, with wrought-iron railings, potted plants, Eiffel Tower in distance, and sunset casting golden light on zinc roofs"
Vague_Place,VP_12,riverside path,"Thames towpath near Oxford with willow trees trailing in water, narrowboat moored along bank, university crew rowing past, and historic college buildings reflected in river"
Vague_Place,VP_13,meadow breeze,"Irish countryside meadow in spring with wildflowers swaying in wind, dry stone walls, sheep grazing, distant thatched cottage, and dramatic cloud formations overhead"
Vague_Place,VP_14,canyon depths,"Grand Canyon rim viewpoint at sunrise, with layered red rock formations, Colorado River visible far below, desert vegetation, and tourists at safety railings"
